seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,Dets,GT_Dets,IDs,GT_IDs
MOT20-01_best,0.470016998576048,0.794909702883421,0.3736210726882436,0.470016998576048,0.470016998576048,0.46995373485230163,0.4698439420460695,0.46943899662559085,0.468908876222496,0.468908876222496,0.46812085235183903,0.46656696909511153,0.4633990500437821,0.45953962263033543,0.4499890219926192,0.43154389742521077,0.39783897003234747,0.34199010190390083,0.2647040033722518,0.16388748819139728,0.06825935618847268,0.007111108584457359,0.3826336244701461,0.3548614254816156,0.3548614254816156,0.35479328035408914,0.3547251420811749,0.3544526575149595,0.3541122059119244,0.3541122059119244,0.3535678391959799,0.3520730850316233,0.3490934588800962,0.34518577706751896,0.3359123146357189,0.31690622861054074,0.28272774894042574,0.23299459855351093,0.16757693974859125,0.09282700421940929,0.03313899969315741,0.0024935799620380366,0.2813903114355744,0.6225415418162484,0.6225415418162484,0.6224935057428631,0.6223221973560402,0.6217275195448091,0.6209205176478216,0.6209205176478216,0.6197880805701512,0.6182941721632774,0.615132349573002,0.6117768424911799,0.6028064798203808,0.5876506000574915,0.5598171621624228,0.5019739965061009,0.41812560550644695,0.28934585373670163,0.14059988987014746,0.020279223473793614,0.5231082946054183,0.35505787619526924,0.35505787619526924,0.35500754906894816,0.3549572219426271,0.35475591343734275,0.3545042778057373,0.3545042778057373,0.3541016607951686,0.3529944640161047,0.3507800704579768,0.3478610971313538,0.3408656265727227,0.3262204328132864,0.2987921489682939,0.25616507297433316,0.19456467035732258,0.11514846502264721,0.04348263714141923,0.0033719174635128335,0.2877996450613196,0.9984432493631474,0.9984432493631474,0.9983017265779791,0.9981602037928107,0.997594112652137,0.996886498726295,0.996886498726295,0.9957543164449476,0.9926408151712426,0.9864138126238324,0.9782054910840645,0.9585338239456552,0.9173506934616473,0.8402207755448627,0.7203509765072177,0.5471270874610812,0.3238041324653269,0.12227568638550806,0.009482026606283611,0.8093092198370254,0.6411116117626633,0.6411116117626633,0.6410886681770009,0.6409550167677794,0.6405915334564048,0.6400956323768195,0.6400956323768195,0.6394340361344218,0.6387833796623458,0.6372135449504217,0.6357077505279368,0.6303561793590862,0.621064310894631,0.6048158987904635,0.5663879295037351,0.5046093561610091,0.39963623857645153,0.230170305671716,0.03853756007316744,0.5595666419466073,0.9535376862052398,0.9535376862052398,0.9533910648284546,0.9532904090056717,0.9527879141785465,0.952149962361026,0.952149962361026,0.9510486765759242,0.9481817496657665,0.9432477147713686,0.9369626219151489,0.9225224328681229,0.8966189390430046,0.848302473223369,0.7684575671306707,0.6417986152549023,0.4680676751614314,0.2579719700182222,0.04295405750558475,0.8051041672778274,0.794909702883421,0.794909702883421,0.7950051728632481,0.7950931583120633,0.795417709301471,0.7957828413995655,0.7957828413995655,0.7962575091320353,0.7974273580599179,0.7994290237673085,0.8017041463068798,0.8063108357664995,0.8143530456458057,0.8269407832763901,0.8434853899043482,0.8648243068344208,0.8922339091161096,0.9221402582322697,0.9602298525776861,0.8259072393506541,0.47014708090192964,0.47014708090192964,0.4700956219590978,0.46999761523515343,0.46963977057448203,0.46916839160743296,0.46916839160743296,0.4684741067240967,0.46717707553673615,0.46451713523205845,0.46131698822885037,0.45329461550527095,0.4378397344848253,0.4089852966939548,0.3585919762713647,0.2852235449666064,0.18253145186090144,0.07818985863490947,0.008269212040924097,0.38751447099831354,7055.0,7055.0,7054.0,7053.0,7049.0,7044.0,7044.0,7036.0,7014.0,6970.0,6912.0,6773.0,6482.0,5937.0,5090.0,3866.0,2288.0,864.0,67.0,5718.578947368421,12815.0,12815.0,12816.0,12817.0,12821.0,12826.0,12826.0,12834.0,12856.0,12900.0,12958.0,13097.0,13388.0,13933.0,14780.0,16004.0,17582.0,19006.0,19803.0,14151.421052631578,11.0,11.0,12.0,13.0,17.0,22.0,22.0,30.0,52.0,96.0,154.0,293.0,584.0,1129.0,1976.0,3200.0,4778.0,6202.0,6999.0,1347.421052631579,7066,19870,91,74
MOT20-02_best,0.3540296195308924,0.8015497032414435,0.28377233647366795,0.3540296195308924,0.3540194299958159,0.35397740382929765,0.35390516494723423,0.3538136124948768,0.3536761517470738,0.35344663616578686,0.3526551624494509,0.34946718176822367,0.3459114681178324,0.34178186667117366,0.33524678458051316,0.3234586697618809,0.30133425242248535,0.2644739056406611,0.21236616353997856,0.14763766447332274,0.06973720811626889,0.011468809909234353,0.29117932400852653,0.307637847474754,0.3075705211128917,0.3073854093603001,0.3072760497767254,0.307158298376097,0.30702375131880294,0.3068135769831928,0.306074300738636,0.3035352239189016,0.30015678494864495,0.295613246350749,0.2881135640287587,0.2754341029793966,0.2509482057976012,0.21205920428580805,0.1576317348892333,0.0961784367362134,0.03923293725287597,0.005060698702917693,0.24636336289644745,0.40741726849936466,0.4074829940173655,0.4076315875971197,0.40761024449298305,0.407555560271383,0.4074174059085524,0.40716752447937943,0.40632507630376763,0.40234971597778907,0.39864080965521537,0.39516106205413265,0.3900906468962859,0.3798567784903233,0.36183694318282356,0.3298439556085161,0.28610601442901035,0.22662959298162924,0.12395906440819181,0.025991193796682212,0.34626702310792185,0.3088883431776764,0.30883664422070284,0.3086944720890256,0.3086104612839436,0.3085199881092399,0.30841659019529283,0.3082550309547505,0.3076863424280415,0.30572824443266855,0.30311098473588294,0.2995696061831953,0.2936694627185897,0.2835364671517752,0.2633867986713368,0.22971139057269518,0.17878145558413358,0.11519820087629733,0.049566374998384406,0.006611004122991818,0.2524619927635065,0.987011377950317,0.9868461808495261,0.9863918888223512,0.986123443533566,0.985834348607182,0.9855039544056002,0.9849877134656286,0.9831705453569289,0.9769137051644744,0.968550601936936,0.9572346005327607,0.9383814814050013,0.9060028496499887,0.8416172796167427,0.7340120180890826,0.5712722241724658,0.36810043983728086,0.15838272038325726,0.021124579263633925,0.806708523844354,0.4188821688819989,0.41894968678288935,0.41910610819429434,0.41910812780307105,0.41908845988222576,0.41900700214937653,0.4188421953889671,0.4182888661882857,0.41552400924640637,0.41298584381831865,0.4108225585147847,0.40743045711068676,0.40052880127194473,0.38789794492450014,0.3624349488538481,0.32434673817998055,0.2708648502550187,0.1660194191993387,0.03839542879292296,0.3657117692336242,0.9506662376376077,0.9507539932089333,0.9509543509977959,0.9509048323782785,0.9507093235909899,0.9506890063531164,0.950491381068754,0.949301262719351,0.9443106250843473,0.93917930605947,0.9309773219190414,0.9183481098994453,0.8960267442672273,0.8521821147643286,0.7821444291012901,0.6817835145671155,0.5515438120135101,0.3373814165449928,0.0839601961320685,0.8169635778056664,0.8015497032414435,0.8016713793406289,0.8019809277966826,0.8021537037805002,0.8023221810139207,0.8024982206646301,0.8027458691616484,0.8035219817404072,0.8059218830010274,0.8087751382445015,0.81209659416175,0.8168140955299826,0.8235895230487928,0.8347303846813452,0.8505249508145458,0.8715935910987281,0.8968530298266325,0.9265007791954541,0.9613857474141725,0.8330120886187785,0.3547484250123505,0.35474734734642893,0.35473034510752566,0.35467278663162266,0.35459700592190807,0.35447748463975437,0.3542759346359279,0.3535826304623873,0.3507273475420362,0.3476095631171588,0.34406139530393365,0.3384637509181439,0.3281817316622007,0.3087119597714774,0.2752615369332057,0.22616465177165418,0.16157760171759955,0.07838495691716187,0.013108313749347988,0.29516235627167503,47798.0,47790.0,47768.0,47755.0,47741.0,47725.0,47700.0,47612.0,47309.0,46904.0,46356.0,45443.0,43875.0,40757.0,35546.0,27665.0,17826.0,7670.0,1023.0,39066.47368421053,106944.0,106952.0,106974.0,106987.0,107001.0,107017.0,107042.0,107130.0,107433.0,107838.0,108386.0,109299.0,110867.0,113985.0,119196.0,127077.0,136916.0,147072.0,153719.0,115675.52631578948,629.0,637.0,659.0,672.0,686.0,702.0,727.0,815.0,1118.0,1523.0,2071.0,2984.0,4552.0,7670.0,12881.0,20762.0,30601.0,40757.0,47404.0,9360.526315789473,48427,154742,457,270
MOT20-03_best,0.16042767548646744,0.7511684750318165,0.12050821234806888,0.16042767548646744,0.16041863459373612,0.1604124410635642,0.1604091318803849,0.1604069944169823,0.16039285508944112,0.1603661608100674,0.160343895340241,0.1602452374387144,0.15987814863239255,0.157829909794801,0.15305063198935806,0.1397411269101473,0.11808664826817333,0.08908340154564118,0.055196581045008644,0.025541179264636768,0.008156239076125288,0.0012660877413255118,0.12375015686248465,0.10372674961070226,0.1036424020302435,0.10358617747168598,0.10355455367490671,0.10353347215058488,0.1035053647043841,0.10349833806655374,0.10348077186346893,0.10333323783420716,0.10285577917429004,0.10107248144759581,0.09728685851774464,0.08901931705355236,0.07451544499696185,0.05374206121189458,0.030556934851318523,0.012118557453642868,0.002887714770169154,0.00023952648787793962,0.07874503912483079,0.24812345088017515,0.24829739393158068,0.24841298207963147,0.24847859101780723,0.2485225630264389,0.2485462278908603,0.24848037189179892,0.24845354658548335,0.24850219213095642,0.24851323489376342,0.24645957108266442,0.24077759637052523,0.21936342803405773,0.18713511675035732,0.1476655761239304,0.09970445576044892,0.053830816144887994,0.023036982929936774,0.006692279350547644,0.1952103356250449,0.10384877796836044,0.10377226150775685,0.10372125053402113,0.10369255686129479,0.1036734277461439,0.10364792225927602,0.10364154588755906,0.10362560495826664,0.10349170115221037,0.1030581078754567,0.10143532127348896,0.09797295143117664,0.09032768174253486,0.07663123529449273,0.05635756142040056,0.032764986067627795,0.013230971312703645,0.0031818094867658406,0.0002646194262540729,0.07938633127398902,0.9887984943233562,0.9880699411086151,0.9875842389654544,0.9873110315099265,0.9871288932062413,0.9868860421346609,0.9868253293667658,0.9866735474470281,0.9853985793212312,0.9812701111043652,0.9658187116750653,0.9328516787080323,0.8600570700018214,0.7296460445631716,0.5366097990407382,0.3119725578289114,0.1259789933823083,0.03029567117964908,0.002519579867646166,0.7558787534071046,0.24845181372516395,0.24862517313838334,0.2487397039251101,0.24880505970872951,0.24884901615433005,0.2488787488970392,0.24882783705738196,0.24880806244042145,0.248876724045274,0.24900594196802295,0.24774554494430642,0.24372766845153662,0.22646102940580895,0.19825161267111396,0.16147035036338808,0.11389411232976654,0.06579823022780916,0.029281162726997014,0.00847396839839728,0.19910377687257794,0.9928879798882371,0.9933422455086004,0.9937163346772675,0.9939294067147968,0.9940722850013712,0.9941596878672248,0.9941061548275781,0.9940097199990764,0.9931447801253054,0.9907746625051753,0.9811635160047772,0.9622545639209142,0.9129093994749635,0.8253198666246693,0.6847955984933218,0.4825851191213879,0.2698626538126193,0.12356251094042058,0.060960406200147435,0.8019766785109398,0.7511684750318165,0.7516668448022679,0.7519772636711508,0.7521408391577563,0.7522352403532445,0.7523561036513434,0.7523813541741852,0.7524391766285059,0.7528508132811327,0.7539973790606507,0.7575893147861075,0.7639644807929046,0.7754684443292131,0.7930573449834859,0.8171045569369855,0.847468863477212,0.8830757508708562,0.9216156050696849,0.9613329147063812,0.7917837245139413,0.16052201456248516,0.16051910196223534,0.16051699333772967,0.16051598184582241,0.1605153761519687,0.1605032713257527,0.16047706959432434,0.1604560658527673,0.16036805979897029,0.16003532038322096,0.15811295258041433,0.1535893608129317,0.1407643062477552,0.11975138898384018,0.09122538997495841,0.057156059205227934,0.026687712231520284,0.008561500501251844,0.001330754343248181,0.12429519366823288,32573.0,32549.0,32533.0,32524.0,32518.0,32510.0,32508.0,32503.0,32461.0,32325.0,31816.0,30730.0,28332.0,24036.0,17677.0,10277.0,4150.0,998.0,83.0,24900.157894736843,281085.0,281109.0,281125.0,281134.0,281140.0,281148.0,281150.0,281155.0,281197.0,281333.0,281842.0,282928.0,285326.0,289622.0,295981.0,303381.0,309508.0,312660.0,313575.0,288757.84210526315,369.0,393.0,409.0,418.0,424.0,432.0,434.0,439.0,481.0,617.0,1126.0,2212.0,4610.0,8906.0,15265.0,22665.0,28792.0,31944.0,32859.0,8041.8421052631575,32942,313658,674,702
MOT20-05_best,0.07051824929683696,0.8092492893340291,0.05706684312854521,0.07051824929683696,0.07051761691610488,0.07051754435293213,0.07051754435293213,0.07051754435293213,0.07051658464449695,0.07047316960342762,0.0703497301963584,0.07029313118345712,0.07026092207595311,0.07020784583614151,0.06996252775795717,0.06923580320076446,0.06720144134782023,0.06209456111987115,0.05027007870329905,0.031857502689870004,0.01210745053142124,0.0017729385439146758,0.059957483510867944,0.03756650839255075,0.03755527156944956,0.037553666328874996,0.037553666328874996,0.037553666328874996,0.037550455862627,0.03753279865339868,0.03747501562490331,0.03744291672338898,0.03741242460665519,0.03734984114020189,0.03698411962085015,0.03616699113130002,0.03410427887884708,0.029913230438455042,0.022156987369130198,0.01209605003222092,0.003804899369242882,0.00032517414716367595,0.03095252434457949,0.13237385364451207,0.13241108605300933,0.13241647348142477,0.13241647348142477,0.13241647348142477,0.13242419021798324,0.1323234027874377,0.1320635750558994,0.1319641930696121,0.13195074157489908,0.1319722244185365,0.13234748698799528,0.13254064811342464,0.13241839052710652,0.12889729608449987,0.11405344827504336,0.08390346228162318,0.03852673727872645,0.00966654670402229,0.11721508965887395,0.03756668275716956,0.03755585261099353,0.03755430544725409,0.03755430544725409,0.03755430544725409,0.037551211119775225,0.03753419231864147,0.03747849442402188,0.037447551149233226,0.037418155038184,0.03735781565234612,0.03700506231975542,0.03621600881264466,0.03421862042503682,0.030135655316673473,0.022491119280135655,0.012400517371554466,0.00393289022563836,0.000337281695196366,0.031016317203092766,0.9998764618678966,0.9995882062263218,0.999547026848954,0.999547026848954,0.999547026848954,0.9994646680942184,0.9990116949431724,0.9975292373579312,0.9967056498105749,0.9959232416405864,0.9943172459232417,0.98492834788338,0.9639268654257948,0.9107642892439466,0.802091912370285,0.5986246087959151,0.3300527096030308,0.10467797726898369,0.008977104266183495,0.825531647435175,0.13246483876816906,0.132502097637332,0.13250748859235112,0.13250748859235112,0.13250748859235112,0.1325151707059995,0.13242624748216605,0.13219348187754637,0.13210349514879044,0.13209505692111395,0.13212805772774616,0.1325422681281418,0.13288870127617702,0.1333029400297975,0.13114426660333997,0.11931828208317743,0.09252240084434618,0.04592888490300681,0.011694968387943308,0.11869966443693931,0.9923151708965923,0.9922854905608262,0.992312638097481,0.992312638097481,0.992312638097481,0.9922782423507771,0.9918925908468731,0.9908605960212687,0.990238801403942,0.9896306588985634,0.9884655065316377,0.9827626520824206,0.9731565282048057,0.9447414405081256,0.8809343290931678,0.7521210033125092,0.5541559803661704,0.3005888850416943,0.10695612405853469,0.8631748376037026,0.8092492893340291,0.8094611334253742,0.8094900406645952,0.8094900406645952,0.8094900406645952,0.8095332358508188,0.8097453925026539,0.810399571083695,0.8107239549405936,0.8109820621325025,0.8114357146220234,0.8136113144566763,0.817655875524617,0.8258062576775232,0.8390504246259821,0.8602017008289126,0.888443889860094,0.9221796114245646,0.96143309543331,0.8335990866166924,0.0705184129515645,0.07051816242549432,0.07051814441241096,0.07051814441241096,0.07051814441241096,0.07051729379549929,0.07047447799367332,0.07035299539713231,0.07029748124820397,0.07026630277489293,0.07021534042542084,0.06998233351249289,0.06928270549068809,0.06731400034718892,0.06232499086284485,0.05064770191691605,0.03225595048292382,0.012309404066373006,0.0018056437242788186,0.0600335595080432,24281.0,24274.0,24273.0,24273.0,24273.0,24271.0,24260.0,24224.0,24204.0,24185.0,24146.0,23918.0,23408.0,22117.0,19478.0,14537.0,8015.0,2542.0,218.0,20047.21052631579,622063.0,622070.0,622071.0,622071.0,622071.0,622073.0,622084.0,622120.0,622140.0,622159.0,622198.0,622426.0,622936.0,624227.0,626866.0,631807.0,638329.0,643802.0,646126.0,626296.7894736842,3.0,10.0,11.0,11.0,11.0,13.0,24.0,60.0,80.0,99.0,138.0,366.0,876.0,2167.0,4806.0,9747.0,16269.0,21742.0,24066.0,4236.789473684211,24284,646344,728,1169
COMBINED,0.17596223370357425,0.7881131298925579,0.13867814674700965,0.17596223370357425,0.17595812527580257,0.1759474151524413,0.1759249868408402,0.1758854388275664,0.17582495106199048,0.1757502772464178,0.17548390216459475,0.17457608244338274,0.17346201812220785,0.17175719624376,0.16848386582566463,0.16129049446854551,0.14861278334042585,0.1287952865105511,0.10126976060660858,0.06787520498984367,0.0310793685403899,0.0049566249055344415,0.14415242190895483,0.09836601134528446,0.0983282922340655,0.0982896086571777,0.09826736683431245,0.09824415893610577,0.09821418351921098,0.09817744169195675,0.09804499814253696,0.09767104180508561,0.09708790807679148,0.09597549606670047,0.09370180162722529,0.08914931070975764,0.08042280287504569,0.06651407132022621,0.047309460716648696,0.026565897482745623,0.00977446835036215,0.0011164243600424418,0.07848530235533062,0.314770389349894,0.3148764322772262,0.3149620119742417,0.3149529899089856,0.3148857695619847,0.31476526412200323,0.3146156532486144,0.31408639402638516,0.31203525628506074,0.30991574879984307,0.3073756914058083,0.3029484230889399,0.2918095877443564,0.27462061234676666,0.24939423340171704,0.2167761851005579,0.173419454599851,0.09882145138191471,0.022006085977226735,0.267212507084283,0.09845374726558988,0.09841937434228733,0.09838412006197703,0.0983638488507986,0.09834269628261241,0.09831537421537193,0.09828188264907713,0.09816113673901433,0.0978200515770121,0.09728771194432644,0.09627062595737405,0.09418533527701932,0.08998390642103835,0.08183135409927958,0.06856164299047958,0.049660060602107856,0.028449322853410938,0.010641504511666523,0.0012259675977909668,0.07908629811780181,0.9910219217700654,0.9906759286366983,0.990321063884527,0.9901170166520284,0.9899040978007257,0.989629077617793,0.9892919561032302,0.9880765443270434,0.9846432278497858,0.9792847700919987,0.9690469219918558,0.9480566719009218,0.9057656650609036,0.8237031911212839,0.6901320984039958,0.4998713615273379,0.286366983383458,0.10711592544291557,0.012340421756757956,0.7960718339643855,0.3209644159077502,0.3210723271740311,0.32116228096842514,0.32116530987919595,0.3211268805664063,0.3210512473947949,0.3209444942741119,0.32057365417464556,0.31908559767006245,0.31758137458791436,0.31594560866064886,0.3129600416032027,0.304863929631857,0.2920265104872398,0.27220072580897997,0.24543245969870944,0.20934459657119886,0.13402434281797887,0.032432338364989946,0.2802083229601128,0.9722121087865581,0.9723714623577553,0.9725641074852038,0.9725996345457094,0.9725281459461447,0.9724992723956318,0.9723177805700792,0.9714982286521314,0.9688538473627746,0.9655992824531758,0.9586822019910053,0.9456555758512999,0.9184330047478781,0.8670284768370076,0.7838635002786022,0.6608544621783504,0.5100606905319066,0.3062792428930235,0.08421664360557374,0.8288482983931479,0.7881131298925579,0.7883621705123021,0.7885998094065517,0.7887283058951782,0.7888484596796067,0.788991483756866,0.789146536493274,0.7896512340899217,0.7909104291241291,0.7926273357614178,0.7954162517873606,0.8002340371664569,0.80828905320095,0.8213182662212711,0.8395968937294411,0.8637898145864478,0.8926662981223061,0.924875195100431,0.9613343396495289,0.821131528640842,0.17604068950031349,0.176039601964604,0.17603198686896548,0.17601133001745814,0.17597362188621038,0.17591550452463003,0.17584373378697082,0.1755878055899325,0.17470920085573866,0.17364041607946396,0.17202107491734203,0.16891802390590563,0.16204371828722625,0.14990856070254713,0.13076267966959404,0.10375508897970959,0.07024006017205282,0.032428520174841144,0.00519410708036349,0.1447929328928353,111707.0,111668.0,111628.0,111605.0,111581.0,111550.0,111512.0,111375.0,110988.0,110384.0,109230.0,106864.0,102097.0,92847.0,77791.0,56345.0,32279.0,12074.0,1391.0,89732.42105263157,1022907.0,1022946.0,1022986.0,1023009.0,1023033.0,1023064.0,1023102.0,1023239.0,1023626.0,1024230.0,1025384.0,1027750.0,1032517.0,1041767.0,1056823.0,1078269.0,1102335.0,1122540.0,1133223.0,1044881.5789473684,1012.0,1051.0,1091.0,1114.0,1138.0,1169.0,1207.0,1344.0,1731.0,2335.0,3489.0,5855.0,10622.0,19872.0,34928.0,56374.0,80440.0,100645.0,111328.0,22986.57894736842,112719,1134614,1950,2215
